species,accession,taxid,order,suborder,infraorder,superfamily,family,subfamily
Abia_candens,GCA_964212075.1,362089,Hymenoptera,NaN,NaN,Tenthredinoidea,Cimbicidae,NaN
Acromyrmex_lobicornis,GCA_048181725.1,602163,Hymenoptera,Apocrita,Aculeata,Formicoidea,Formicidae,Myrmicinae
Acromyrmex_octospinosus,GCA_048933045.1,64783,Hymenoptera,Apocrita,Aculeata,Formicoidea,Formicidae,Myrmicinae
Aenasius_arizonensis,GCA_047562435.1,2058190,Hymenoptera,Apocrita,Proctotrupomorpha,Chalcidoidea,Encyrtidae,Tetracneminae
Agapostemon_virescens,GCA_028453745.1,115084,Hymenoptera,Apocrita,Aculeata,Apoidea,Halictidae,Halictinae
Aleiodes_alternator,GCA_963921955.1,144253,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Braconidae,Rogadinae
Aleiodes_leptofemur,GCA_963942555.1,1844523,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Braconidae,Rogadinae
Aleiodes_similis,GCA_965249695.1,144254,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Braconidae,Rogadinae
Aleiodes_testaceus,GCA_963565655.1,422171,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Braconidae,Rogadinae
Alloplasta_piceator,GCA_946863875.1,2870495,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Ichneumonidae,Banchinae
Amblyjoppa_fuscipennis,GCA_963575735.1,2867249,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Ichneumonidae,Ichneumoninae
Amblyjoppa_proteus,GCA_963922035.1,1905387,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Ichneumonidae,Ichneumoninae
Amblyteles_armatorius,GCA_933228735.2,231887,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Ichneumonidae,Ichneumoninae
Ametastegia_equiseti,GCA_963989295.1,655806,Hymenoptera,NaN,NaN,Tenthredinoidea,Tenthredinidae,Allantinae
Ammophila_pubescens,GCA_965247725.1,1088609,Hymenoptera,Apocrita,Aculeata,Apoidea,Sphecidae,Ammophilinae
Ampulex_clypecomplana,GCA_049354905.1,3143112,Hymenoptera,Apocrita,Aculeata,Apoidea,Ampulicidae,NaN
Ancistrocerus_nigricornis,GCA_916049575.1,76990,Hymenoptera,Apocrita,Aculeata,Vespoidea,Vespidae,Eumeninae
Andrena_barbilabris,GCA_965204585.1,586954,Hymenoptera,Apocrita,Aculeata,Apoidea,Andrenidae,Andreninae
Andrena_bicolor,GCA_960531205.1,1190795,Hymenoptera,Apocrita,Aculeata,Apoidea,Andrenidae,Andreninae
Andrena_bucephala,GCA_947577245.1,1542580,Hymenoptera,Apocrita,Aculeata,Apoidea,Andrenidae,Andreninae
Andrena_camellia,GCA_029448645.1,1862692,Hymenoptera,Apocrita,Aculeata,Apoidea,Andrenidae,Andreninae
Andrena_cerasifolii,GCA_050908995.1,2819439,Hymenoptera,Apocrita,Aculeata,Apoidea,Andrenidae,Andreninae
Andrena_chrysosceles,GCA_963855975.1,1411665,Hymenoptera,Apocrita,Aculeata,Apoidea,Andrenidae,Andreninae
Andrena_clarkella,GCA_965620515.1,1190796,Hymenoptera,Apocrita,Aculeata,Apoidea,Andrenidae,Andreninae
Andrena_dorsata,GCA_929108735.1,1411666,Hymenoptera,Apocrita,Aculeata,Apoidea,Andrenidae,Andreninae
Andrena_flavipes,GCA_963971345.1,473392,Hymenoptera,Apocrita,Aculeata,Apoidea,Andrenidae,Andreninae
Andrena_fulva,GCA_946251845.1,1411667,Hymenoptera,Apocrita,Aculeata,Apoidea,Andrenidae,Andreninae
Andrena_haemorrhoa,GCA_910592295.1,444401,Hymenoptera,Apocrita,Aculeata,Apoidea,Andrenidae,Andreninae
Andrena_hattorfiana,GCA_944738655.2,1126402,Hymenoptera,Apocrita,Aculeata,Apoidea,Andrenidae,Andreninae
Andrena_helvola,GCA_964234935.1,1190801,Hymenoptera,Apocrita,Aculeata,Apoidea,Andrenidae,Andreninae
Andrena_marginata,GCA_963932335.1,1542598,Hymenoptera,Apocrita,Aculeata,Apoidea,Andrenidae,Andreninae
Andrena_minutula,GCA_929113495.1,1190802,Hymenoptera,Apocrita,Aculeata,Apoidea,Andrenidae,Andreninae
Andrena_nitida,GCA_964214045.1,1126404,Hymenoptera,Apocrita,Aculeata,Apoidea,Andrenidae,Andreninae
Andrena_praecox,GCA_963932275.1,1190803,Hymenoptera,Apocrita,Aculeata,Apoidea,Andrenidae,Andreninae
Andrena_trimmerana,GCA_951215215.1,1431430,Hymenoptera,Apocrita,Aculeata,Apoidea,Andrenidae,Andreninae
Anoplius_nigerrimus,GCA_914767735.1,1667466,Hymenoptera,Apocrita,Aculeata,Pompiloidea,Pompilidae,Pompilinae
Anoplolepis_gracilipes,GCA_047496725.1,354296,Hymenoptera,Apocrita,Aculeata,Formicoidea,Formicidae,Formicinae
Anthidium_xuezhongi,GCA_022405125.1,2840466,Hymenoptera,Apocrita,Aculeata,Apoidea,Megachilidae,Megachilinae
Apaeleticus_inimicus,GCA_965197045.1,2979194,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Ichneumonidae,Ichneumoninae
Aphaenogaster_subterranea,GCA_048181805.1,165431,Hymenoptera,Apocrita,Aculeata,Formicoidea,Formicidae,Myrmicinae
Aphelinus_atriplicis,GCA_020882685.1,2890793,Hymenoptera,Apocrita,Proctotrupomorpha,Chalcidoidea,Aphelinidae,Aphelininae
Aphelinus_certus,GCA_020882725.1,1041456,Hymenoptera,Apocrita,Proctotrupomorpha,Chalcidoidea,Aphelinidae,Aphelininae
Aphidius_gifuensis,GCA_014905175.1,684658,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Braconidae,Aphidiinae
Apis_cerana,GCA_029169275.1,7461,Hymenoptera,Apocrita,Aculeata,Apoidea,Apidae,Apinae
Apis_mellifera,GCA_003254395.2,7460,Hymenoptera,Apocrita,Aculeata,Apoidea,Apidae,Apinae
Arge_ochropus,GCA_965113185.1,1384776,Hymenoptera,NaN,NaN,Tenthredinoidea,Argidae,NaN
Arge_pagana,GCA_963969455.1,1384777,Hymenoptera,NaN,NaN,Tenthredinoidea,Argidae,NaN
Asobara_japonica,GCA_049862395.1,554476,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Braconidae,Alysiinae
Athalia_circularis,GCA_963978495.1,362093,Hymenoptera,NaN,NaN,Tenthredinoidea,Athaliidae,NaN
Athalia_cordata,GCA_963932425.1,1170485,Hymenoptera,NaN,NaN,Tenthredinoidea,Athaliidae,NaN
Athalia_rosae,GCA_917208135.1,37344,Hymenoptera,NaN,NaN,Tenthredinoidea,Athaliidae,NaN
Augochlora_pura,GCA_028453695.1,115077,Hymenoptera,Apocrita,Aculeata,Apoidea,Halictidae,Halictinae
Augochlorella_aurata,GCA_028455555.1,586896,Hymenoptera,Apocrita,Aculeata,Apoidea,Halictidae,Halictinae
Baryscapus_dioryctriae,GCA_040869075.1,2980436,Hymenoptera,Apocrita,Proctotrupomorpha,Chalcidoidea,Eulophidae,Tetrastichinae
Belonocnema_kinseyi,GCA_010883055.1,2817044,Hymenoptera,Apocrita,Proctotrupomorpha,Cynipoidea,Cynipidae,Cynipinae
Bombus_affinis,GCA_024516045.2,309941,Hymenoptera,Apocrita,Aculeata,Apoidea,Apidae,Apinae
Bombus_bimaculatus,GCA_050437405.1,309944,Hymenoptera,Apocrita,Aculeata,Apoidea,Apidae,Apinae
Bombus_breviceps,GCA_014825925.1,395515,Hymenoptera,Apocrita,Aculeata,Apoidea,Apidae,Apinae
Bombus_campestris,GCA_905333015.3,207624,Hymenoptera,Apocrita,Aculeata,Apoidea,Apidae,Apinae
Bombus_dahlbomii,GCA_037178635.1,85658,Hymenoptera,Apocrita,Aculeata,Apoidea,Apidae,Apinae
Bombus_fervidus,GCA_041682495.2,203811,Hymenoptera,Apocrita,Aculeata,Apoidea,Apidae,Apinae
Bombus_flavifrons,GCA_040668555.2,103934,Hymenoptera,Apocrita,Aculeata,Apoidea,Apidae,Apinae
Bombus_griseocollis,GCA_050437465.1,207634,Hymenoptera,Apocrita,Aculeata,Apoidea,Apidae,Apinae
Bombus_haemorrhoidalis,GCA_014825975.1,207636,Hymenoptera,Apocrita,Aculeata,Apoidea,Apidae,Apinae
Bombus_hortorum,GCA_905332935.1,85660,Hymenoptera,Apocrita,Aculeata,Apoidea,Apidae,Apinae
Bombus_huntii,GCA_024542735.1,85661,Hymenoptera,Apocrita,Aculeata,Apoidea,Apidae,Apinae
Bombus_hypnorum,GCA_911387925.2,30191,Hymenoptera,Apocrita,Aculeata,Apoidea,Apidae,Apinae
Bombus_ignitus,GCA_014825875.1,130704,Hymenoptera,Apocrita,Aculeata,Apoidea,Apidae,Apinae
Bombus_jonellus,GCA_964197665.1,85663,Hymenoptera,Apocrita,Aculeata,Apoidea,Apidae,Apinae
Bombus_lapidarius,GCA_964186655.1,30192,Hymenoptera,Apocrita,Aculeata,Apoidea,Apidae,Apinae
Bombus_lucorum,GCA_965261305.1,30193,Hymenoptera,Apocrita,Aculeata,Apoidea,Apidae,Apinae
Bombus_monticola,GCA_965178685.1,103936,Hymenoptera,Apocrita,Aculeata,Apoidea,Apidae,Apinae
Bombus_muscorum,GCA_963971185.1,203813,Hymenoptera,Apocrita,Aculeata,Apoidea,Apidae,Apinae
Bombus_opulentus,GCA_034509555.1,2024865,Hymenoptera,Apocrita,Aculeata,Apoidea,Apidae,Apinae
Bombus_pascuorum,GCA_905332965.1,65598,Hymenoptera,Apocrita,Aculeata,Apoidea,Apidae,Apinae
Bombus_pauloensis,GCA_051167325.1,1196864,Hymenoptera,Apocrita,Aculeata,Apoidea,Apidae,Apinae
Bombus_pratorum,GCA_930367275.1,30194,Hymenoptera,Apocrita,Aculeata,Apoidea,Apidae,Apinae
Bombus_pullatus,GCA_051167345.1,85668,Hymenoptera,Apocrita,Aculeata,Apoidea,Apidae,Apinae
Bombus_pyrosoma,GCA_014825855.1,396416,Hymenoptera,Apocrita,Aculeata,Apoidea,Apidae,Apinae
Bombus_rufofasciatus,GCA_040285845.1,309971,Hymenoptera,Apocrita,Aculeata,Apoidea,Apidae,Apinae
Bombus_sylvestris,GCA_911622165.2,30201,Hymenoptera,Apocrita,Aculeata,Apoidea,Apidae,Apinae
Bombus_terrestris,GCA_910591885.2,30195,Hymenoptera,Apocrita,Aculeata,Apoidea,Apidae,Apinae
Bombus_turneri,GCA_014825825.1,686820,Hymenoptera,Apocrita,Aculeata,Apoidea,Apidae,Apinae
Bombus_vestalis,GCA_963556215.1,30202,Hymenoptera,Apocrita,Aculeata,Apoidea,Apidae,Apinae
Buathra_laborator,GCA_934046635.1,1419289,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Ichneumonidae,Cryptinae
Campoletis_raptor,GCA_948107755.1,2922060,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Ichneumonidae,Campopleginae
Camponotus_fellah,GCA_048181845.1,213863,Hymenoptera,Apocrita,Aculeata,Formicoidea,Formicidae,Formicinae
Cardiocondyla_obscurior,GCA_019399895.2,286306,Hymenoptera,Apocrita,Aculeata,Formicoidea,Formicidae,Myrmicinae
Cataglyphis_hispanica,GCA_021464435.1,1086592,Hymenoptera,Apocrita,Aculeata,Formicoidea,Formicidae,Formicinae
Cataglyphis_niger,GCA_050437125.1,72791,Hymenoptera,Apocrita,Aculeata,Formicoidea,Formicidae,Formicinae
Cephus_spinipes,GCA_963971525.1,1001278,Hymenoptera,NaN,NaN,Cephoidea,Cephidae,NaN
Cerceris_ruficornis,GCA_963989415.1,2494881,Hymenoptera,Apocrita,Aculeata,Apoidea,Crabronidae,Philanthinae
Cerceris_rybyensis,GCA_910591515.1,1167272,Hymenoptera,Apocrita,Aculeata,Apoidea,Crabronidae,Philanthinae
Chalcis_sispes,GCA_949987625.1,1118640,Hymenoptera,Apocrita,Proctotrupomorpha,Chalcidoidea,Chalcididae,Chalcidinae
Chelonus_formosanus,GCA_028641665.1,2739011,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Braconidae,Cheloninae
Clistopyga_incitator,GCA_947507545.1,494138,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Ichneumonidae,Pimplinae
Coelioxys_conoideus,GCA_947623535.1,2922063,Hymenoptera,Apocrita,Aculeata,Apoidea,Megachilidae,Megachilinae
Colletes_latitarsis,GCA_051014445.1,2605962,Hymenoptera,Apocrita,Aculeata,Apoidea,Colletidae,Colletinae
Cotesia_glomerata,GCA_020080835.1,32391,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Braconidae,Microgastrinae
Cotesia_ruficrus,GCA_048537615.1,89806,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Braconidae,Microgastrinae
Crossocerus_cetratus,GCA_963675795.1,2494894,Hymenoptera,Apocrita,Aculeata,Apoidea,Crabronidae,Crabroninae
Cryptus_armator,GCA_963971235.1,494149,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Ichneumonidae,Cryptinae
Cryptus_viduatorius,GCA_964006125.1,273764,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Ichneumonidae,Cryptinae
Cylloceria_caligata,GCA_963942595.1,2881813,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Ichneumonidae,Cylloceriinae
Diachasmimorpha_longicaudata,GCA_034640455.1,58733,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Braconidae,Opiinae
Diadegma_fenestrale,GCA_037043255.1,310001,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Ichneumonidae,Campopleginae
Dinocampus_coccinellae,GCA_963920625.1,144245,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Braconidae,Euphorinae
Diplazon_laetatorius,GCA_963662125.1,65311,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Ichneumonidae,Diplazontinae
Diprion_similis,GCA_021155765.1,362088,Hymenoptera,NaN,NaN,Tenthredinoidea,Diprionidae,Diprioninae
Dolichomitus_mesocentrus,GCA_964273575.1,2881873,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Ichneumonidae,Pimplinae
Dolichovespula_media,GCA_911387685.1,881891,Hymenoptera,Apocrita,Aculeata,Vespoidea,Vespidae,Vespinae
Dolichovespula_saxonica,GCA_911387935.1,85443,Hymenoptera,Apocrita,Aculeata,Vespoidea,Vespidae,Vespinae
Dolichovespula_sylvestris,GCA_918808275.2,85444,Hymenoptera,Apocrita,Aculeata,Vespoidea,Vespidae,Vespinae
Dryocosmus_kuriphilus,GCA_038277395.1,310278,Hymenoptera,Apocrita,Proctotrupomorpha,Cynipoidea,Cynipidae,Cynipinae
Dyspetes_luteomarginatus,GCA_963669185.1,1045598,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Ichneumonidae,Tryphoninae
Ectemnius_cavifrons,GCA_964023945.1,1518028,Hymenoptera,Apocrita,Aculeata,Apoidea,Crabronidae,Crabroninae
Ectemnius_continuus,GCA_910591665.1,1126389,Hymenoptera,Apocrita,Aculeata,Apoidea,Crabronidae,Crabroninae
Ectemnius_lituratus,GCA_910593735.2,2495015,Hymenoptera,Apocrita,Aculeata,Apoidea,Crabronidae,Crabroninae
Encarsia_formosa,GCA_038277355.1,32400,Hymenoptera,Apocrita,Proctotrupomorpha,Chalcidoidea,Aphelinidae,Coccophaginae
Encarsia_sophia,GCA_041053325.1,121815,Hymenoptera,Apocrita,Proctotrupomorpha,Chalcidoidea,Aphelinidae,Coccophaginae
Ephialtes_manifestator,GCA_963970395.1,65333,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Ichneumonidae,Pimplinae
Eremotylus_marginatus,GCA_965218635.1,2998532,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Ichneumonidae,Ophioninae
Eretmocerus_hayati,GCA_029851415.1,131215,Hymenoptera,Apocrita,Proctotrupomorpha,Chalcidoidea,Aphelinidae,Aphelininae
Eutomostethus_luteiventris,GCA_964662225.1,1385253,Hymenoptera,NaN,NaN,Tenthredinoidea,Tenthredinidae,Blennocampinae
Exephanes_ischioxanthus,GCA_958510785.1,2884240,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Ichneumonidae,Ichneumoninae
Formica_rufa,GCA_964276525.1,258706,Hymenoptera,Apocrita,Aculeata,Formicoidea,Formicidae,Formicinae
Formica_selysi,GCA_009859135.1,208979,Hymenoptera,Apocrita,Aculeata,Formicoidea,Formicidae,Formicinae
Gasteruption_jaculator,GCA_949825005.1,2718756,Hymenoptera,Apocrita,NaN,Evanioidea,Gasteruptiidae,NaN
Gastracanthus_pulcherrimus,GCA_949152435.1,2922068,Hymenoptera,Apocrita,Proctotrupomorpha,Chalcidoidea,Pteromalidae,Pteromalinae
Gelis_areator,GCA_964059375.1,2163653,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Ichneumonidae,Phygadeuontinae
Halictus_ligatus,GCA_028454255.1,77576,Hymenoptera,Apocrita,Aculeata,Apoidea,Halictidae,Halictinae
Halictus_quadricinctus,GCA_028454245.1,115107,Hymenoptera,Apocrita,Aculeata,Apoidea,Halictidae,Halictinae
Halictus_rubicundus,GCA_050948215.1,77578,Hymenoptera,Apocrita,Aculeata,Apoidea,Halictidae,Halictinae
Hedychridium_roseum,GCA_963989215.1,212591,Hymenoptera,Apocrita,Aculeata,Chrysidoidea,Chrysididae,Chrysidinae
Heteropelma_amictum,GCA_959613375.1,494771,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Ichneumonidae,Anomaloninae
Hylaeus_volcanicus,GCA_026283585.1,313075,Hymenoptera,Apocrita,Aculeata,Apoidea,Colletidae,Hylaeinae
Hyposoter_dolosus,GCA_963921915.1,2884228,Hymenoptera,Apocrita,NaN,Ichneumonoidea,Ichneumonidae,Campopleginae
